Sumber Sheet,Tanggal Gabungan,Month,Product,Kategori,Hari,Bulan,Tahun,Batch,Umur,Domisili,Kota,Kota(Jabodetabek),Provinsi,Negara,Background pendidikan,Asal Sekolah,Level pendidikan,Jurusan pendidikan,Jurusan,Jurusan S2 (jika ada),Kesibukan sekarang apa,Kategori Kesibukan,Level Pekerjaan,Kategori Pekerjaan,Waktu terakhir bekerja (kalau lagi nggak kerja/intern),Kegiatan yang dilakukan waktu luang/Hobi,Alasan mengambil kategori Bootcamp,Motivasi mengikuti bootcamp,Dengar Dibimbing darimana,Channel,Mengapa memilih Dibimbing,Pernah/Tidak memiliki pengalaman di bidang yang diambil,Apakah memiliki skill bahasa inggris,Penyaluran Kerja,Blog dibimbing,Community,Pernah ikut acara dibimbing/tidak,Catatan,Pengembalian Kontrak
BI,15/Jan/2024,Jan 2024,Business Intelligence,CAJC,15,Jan,2024,9,27,Yogyakarta, Yogyakarta, Yogyakarta,Yogyakarta,Indonesia,Universitas Islam Indonesia ,Universitas Islam Indonesia (UII),Middle,Ilmu Hukum,Ilmu Hukum,-,Bekerja Wirausaha (memiliki minimarket dan kesibukannya mengelola minimarket tsb),Pekerja,Middle,Wirausaha,-,Olahraga dan mencoba hal-hal baru,,"Sebelumnya pernah punya kenalan sebagai product manager dan dari situ melihat peluang dari product manager, digital marketing dan bussiness intelegence dan sempet bertanya kepada tim dibimbing sebelumnya jika pekerjaan yang tidak harus ke kantor itu salah satunya bussiness intelegence (bisa WFH) dan sempat searching terkait Bussiness Intelegence dan ternyata tertarik apalagi Bussiness Intelegence ini ilmunya terus berkembang jadi menarik untuk dicoba",Instagram ads,Meta Ads,"Jadwalnya di weekend, customer servicenya komunikatif dan silabusnya lengkap","Jadwalnya di weekend, customer servicenya komunikatif dan silabusnya lengkap",,Tertarik,Tidak,Tidak,Tidak,-,-
PMPM,15/Jan/2024,Jan 2024,Product Management,JCJC+,15,Jan,2024,9,32,Bekasi Timur,Bekasi,Jabodetabek,Jawa Barat,Indonesia,S1 ( STT Aitech) sebelumnya D3 (Politeknik Buku Aitech),STT Aitech,Middle,Teknik Informatika,Teknik Informatika,-,Bekerja (IT Manager di Perusahaan Online Gas di Depok),Pekerja,High,Karyawan Swasta,-,"Olahraga (Basket, renang, lari)",,,"Instagram, Facebook",Instagram,Harga Affordable dan Job Connector,Harga Affordable dan Job Connector,,tertarik,Tidak,Tidak,Tidak,"Sering ikut kursus program profesi 1 tahun belajar tentang linux, jaringan, dan web programming, pernah kursus di Indonesia Network belajar permrograman dan kursus di Cyber kampus serta terakhir Kursus Bisnis (SAP) semuanya offline dan di Baba studio (Digital Marketing)",-
BI,15/Jan/2024,Jan 2024,Business Intelligence,CAJC,15,Jan,2024,9,36,Jakarta,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,London School of Public Relations (LSPR) Jakarta,London School of Public Relation (LSPR),High,Public Relation,Public Relation,LSPR (Marketing Communication),Bekerja (PT Asia Bandar Alam sebagai Head of Marketing) ,Pekerja,High,Karyawan Swasta,-,Suka Eksplorasi makanan baru,,Sudah bekerja didunia marketing cukup lama dan merasa semua effort harus efisien dan data adalah hal penting yang perlu di eksplore sehingga perlu untuk dipelajari dan tentunya ingin upgrade skill dan bukan untuk switch career,Instagram ads,Meta Ads,"Harga affordable, Silabus cukup menarik (materi bagian akhir seperti phiton)","Harga affordable, Silabus cukup menarik (materi bagian akhir seperti phiton)",,-,Tidak,Tidak,Tidak,-,-
DS,16/Jan/2024,Jan 2024,Data Science,JCJC+,16,Jan,2024,25,25,Tangerang ,Tangerang,Jabodetabek,Banten,Indonesia,Binus University,Binus University,High,IT (Information and Technology),Teknologi Informasi,Sistem Informasi,Bekerja  (Front End Developer) di PT Boga Inti/ Boga Group,Pekerja,Middle,Karyawan Swasta ,-,Koleksi Jam Tangan dan membuat konten hitung-hitungan,,Waktu SMA suka Matematika  dan waktu kuliah berpikir jika dapat menambah skill matematika dan setelah terjun ke dunia kerja ternyata untuk bidang yang dipakai kurang memaksimalkan potensinya sehingga mengikuti bootcamp untuk memperluas pendidikan dan menambah opportunity yang berguna untuk pekerjaan-pekerjaan lain yang akan saya tuju serta ingin mengetahui standar data science yang dibutuhkan di dunia kerja saat ini,Instagram,Instagram,Harga Affordable,Harga Affordable,,Tertarik,,-,Tidak,-,-
DM,16/Jan/2024,Jan 2024,Digital Marketing,JCJC+,16,Jan,2024,23,23,Jakarta Timur,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Singaperbangsa Karawang,Universitas Singaperbangsa Karawang,Middle,,,-,Bekerja (sebagai sales di PT Sentral Teknologi Management di Jakarta Timur),Pekerja,Middle,Karyawan Swasta,-,Mendengarkan musik dan menonton film,,Pernah mengikuti mini course selama 2 minggu lalu tertarik dan ingin belajar lebih terkait digital marketing khususnya ke performance marketing dan memiliki rasa penasaran dengan digital marketing sehingga bisa membantu pekerjaan saat ini dan untuk jangka panjang nya bisa untuk ke pekerjaan berikutnya,Refferal dari teman kerja,Refferal,"Harga Affordable, sesuai rekomendasi dan review temen untuk memilih Dibimbing, silabusnya lengkap","Harga Affordable, sesuai rekomendasi dan review temen untuk memilih Dibimbing, silabusnya lengkap",,Tertarik,Tidak,Tidak,Tidak,Pernah mengikuti mini course digital marketing di Revou dan di Rakaming Academy,-
BI,17/Jan/2024,Jan 2024,Business Intelligence,CAJC,17,Jan,2024,9,30,Tangerang,Tangerang,Jabodetabek,Banten,Indonesia,USI Arfand University (LN) di tahun 2013,USI Arfand University,High,Psychology,Psikologi,-,Ada  usaha sendiri di bidang beauty (produk-produk skincare) di BSD dan expor makanan ke luar negeri (udang di Pluit),Usaha,High,Wirausaha,-,Badminton,,2 sampai 3 bulan ini tertarik dengan bussiness intelegence dan makin penasaran dan merasa sotwarenya bisa diimplementasikan di bisnis dan ingin belajar lebih jauh terkait Bussiness Intelegence,Instagram ads,Meta Ads,"Harga Affordable, Mentornya berpengalaman, kurikulumnya oke","Harga Affordable, Mentornya berpengalaman, kurikulumnya oke",,-,Tidak,Tidak,Tidak,Pernah belajar di Coursera tentang Paiton Bassic,-
FE,17/Jan/2024,Jan 2024,Web Development (FE),JCJC+,17,Jan,2024,17,30,Palembang, Palembang, Palembang,Sumatera Selatan,Indonesia,Universitas Sriwijaya,Universitas Sriwijaya (UNSRI),Middle,Sistem Komputer,Sistem Komputer,-,Bekerja di Rumah Sakit Umum di daerah Banyuasin sebagai IT support selama 4 tahun,Pekerja,Middle,Karyawan,-,Main Game,,Untuk mengembangkan career di bidang Web development Front End karena menjadi IT support dii rumah sakit sudah lama selama 4 tahun dan merasa masalah career itu stag dan masalah gaji juga pas-pasan sehingga ingin keluar zona nyaman untuk berkarir di programmer dan melihat dari temen-temennya yang berkarir di hal tsb relasinya banyak dan careernya berkembang serta diarahkan untuk mengikuti bootcamp dari situ termotivasi untuk mengikuti bootcamp web development,Instagram dan Facebook,Instagram,"Harga affordable, Mentornya, Silabus nya lengkap dan Job Connector","Harga affordable, Mentornya, Silabus nya lengkap dan Job Connector",,Tetarik,Tidak,Tidak,Tidak,saat ini mengikuti mini bootcamp online terkait web development,-
DM,17/Jan/2024,Jan 2024,Digital Marketing,JCJC+,17,Jan,2024,23,24,Jakarta,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,UPN Veteran Jakarta,UPN Veteran Jakarta,Middle,,,-,Fresh Graduate dan juga mengikuti Freelence sejak semester 7 kuliah dibidang photography,Fresh Graduate,Low,Job Seeker dan Freelance Photography,-,Suka Photograpy dan Baca buku,,"Kerena selama freelance lebih dipercaya untuk negosiasi dengan klien dan pernah design graphic, photography dan akhirnya dari semua yang sudah dicoba yang paling cocok itu digital marketing dan merasa diperkuliahan yang dipejari teoritis sehingga dengan mengikuti bootcamp ini ingin menambah ilmu yang bersifat praktik",Refferal dari teman freelance (awalnya liat temennya uploud tugas lalu langsung searching terkait Dibimbing),Refferal,"Mentornya oke, dari website lengkap, silabusnya lengkap","Mentornya oke, dari website lengkap, silabusnya lengkap",,Tertarik,Tidak,Tidak,Pernah mengikuti digital skill fair di bulan November 2023 tentang copy writing dan baru saja mendaftar untuk digital skill fair yang terdekat),Pernah magang sebagai Sosial Media Manager di Rumah sakit selama 2 bulan di tahun 2019,-
BI,18/Jan/2024,Jan 2024,Business Intelligence,CAJC,18,Jan,2024,9,26,Adelaide (South Australia) kalau di Indonesia (Jakarta),Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Brawijaya ,Universitas Brawijaya (UB),High,Electrical Engineering,Teknik Elektro,Master Of Project Management,Part Time,Other,Low,Fresh Graduate (Job Seeker) dan  saat ini part time serta mengurus planning untuk kembali ke Jakarta,-,Olahraga (Gym dan Badminton) dan membaca,,Waktu job seeking di Jakarta job-job yang dicari terkait projec itu membutuhkan pemahaman atas SQL atau Data dan itu masih belum mengambil di perkuliahan atau belum mempelajari hal tsb sehingga sekarang inginmempelajari materi tsb di Dibimbing,Refferal (Adiknya),Refferal,Harga Affordable,Harga Affordable,,Tertarik,Tidak,Tidak,Tidak,Punya pengalaman 2 tahun project engineer dan jadi bussiness manager di Indonesia,-
DM,18/Jan/2024,Jan 2024,Digital Marketing,JCJC+,18,Jan,2024,23,22,Jakarta ,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember (ITS),High,,,-,Job Seeker sambil membantu uncle nya mengurus bisnisnya memegang social media marketing,Job seeker,Low,Job Seeker,-,Pilates Emporium,,tertarik dengan digital marketing karena ingin menambah income dan saat ini sedang kerjasama dengan unclenya dan merasa untuk ilmu digital marketing masih belum banyak sehingga mengikuti bootcamp di Dibimbing,Searching Google,Organic,"Silabusnya lengkap, materinya cocok dan jadwalnya sesuai","Silabusnya lengkap, materinya cocok dan jadwalnya sesuai",,Tertarik,Tidak,Tidak,Tidak,Saat ini mengikuti Course bidang health dan pernah mengikuti organisasi sebagai social media managernya (Oppotunities) dan di Find Plant 6-7 bulan,-
DM,18/Jan/2024,Jan 2024,Digital Marketing,JCJC+,18,Jan,2024,23,25,Surabaya, Surabaya, Surabaya,Jawa Timur,Indonesia,Universitas Kristen Petra,Universitas Kristen Petra,Middle,,,-,Bekerja di Perusahaan Packaging (PT SKG Surabaya) sebagai sales,Pekerja,Middle,Karyawan ,-,Memasak dan Olahraga,,Karena melihat semua serba online dan pernah jualan online hanya pakai instagram ads dan melihat orang lain pakai shopee dll jadi pengen tahu lebih tentang itu dan ingin freelance terkait digital marketing karena sekarang perusahaan berlomba-lomba meng hiring orang supaya perusahaannya dikenal,Google,Google Ads,"Silabusnya lengkap, Harga Affordable (rangenya tengah ngga mahal dan ngga murah)","Silabusnya lengkap, Harga Affordable (rangenya tengah ngga mahal dan ngga murah)",,Tertarik,Tidak,Tidak,Tidak,Tertarik dengan materi SEO dan Copy Writing,-
FE,19/Jan/2024,Jan 2024,Web Development (FE),JCJC+,19,Jan,2024,17,21,Kebumen (Jawa Tengah) tetapi bekerja di Jakarta,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Terbuka,Universitas Terbuka,Middle,Sistem Informasi,Sistem Informasi,-,Bekerja Part Time di Cafe (Barista) dan bergabung di EO,Pekerja,Low,Karyawan Part Time,-,Olahraga,,Karena merasa kuliah di salah satu kampus yang bisa disambi bekerja sebagai barista dan bergabung di EO dan berharap dengan bergabung bootcamp ini bisa menjadi jembatan untuk menunjang karier dan menunjang jurusan kuliah terkait sistem informasi serta alasan berikutnya tertarik dengan frond end yang memerlukan basic programming dan ingin mempelajarinya untuk menambah soft skill,Instagramdan Google,Instagram,"Testimoni nya oke, Harga Affordable","Testimoni nya oke, Harga Affordable",,Tertarik,Tidak,Tidak,Tidak,Pernah mengikuti course dan My Skill terkait Web Development selama 1 bulan dan Coding Studio,-
UIUX,19/Jan/2024,Jan 2024,UI/UX,JCJC+,19,Jan,2024,24+,23,Jakarta,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Atma Jaya,Universitas Atma Jaya,Middle,Psychology,Psikologi,-,Bekerja (Human Capital) di Perusahaan bidang Finance (WOM Finance),Pekerja,Middle,Karyawan Swasta,-,"Mencoba hal baru (membaca buku, komik dan mendengarkan musik) dan suka eksplore hal-hal baru terkait game",,tertarik dengan UI UX karena merasa cocok dengan passion lebih kearah Cyber Psychologi yang merupakan bagian UI/UX yang bisa implement dibidang psychologi dan ingin switch career ke UI UX,Instagram,Instagram,"Tertarik dengan portofolio alumni, range harga cocok,kurikulumnya dan job connector","Tertarik dengan portofolio alumni, range harga cocok,kurikulumnya dan job connector",,Tertarik,,Tidak,Tidak,Pernah mengikuti organisasi tingkat fakultas belajar UI UX di bidang majalah yang mana membuat web dan mendesign disitu dan belajar design untuk sosmed dan pernah mengikuti kursus online UI UX di @Habis Kerja,-
DM,19/Jan/2024,Jan 2024,Digital Marketing,JCJC+,19,Jan,2024,23,26,Samarinda, Samarinda, Samarinda,Kalimantan Timur,Indonesia,Universitas Brawijaya,Universitas Brawijaya (UB),High,,,-,Bekerja di PT Asuransi Jiwa Astra sebagai Professional Financial Consultan) selama 1 tahun sebelumnya bekerja di MCD sebagai Manager selama 1 tahun lebih dan pernah bekerja di Asuransi Jiwa juga sebelum ke MCD,Pekerja,Middle,Karyawan ,-,"Menyanyi, Dancing, Edit video bassic",,"Tertarik karena sekarang apa-apa sosmed dan suka bidang selling karena pas kuliah terbiasa jualan mengirim barang dari Malang ke Kalimantan dan melihat proses penjualan tidak jauh dari teknologi misal sekarang seperti handle FB Ads, Instagram Ads, Tik tok Ads semuanya berhubungan dengan penjualan jadi membuat tertarik serta awalnya tahu social media specialist  lalu melihat banyak iklan lewat terkait digital marketing terus tertarik aja dan ingin swetch career ke digital marketing",Instagram Ads,Meta Ads,"CS nya ramah dan komunikatif membuat nyaman, harga affordable dan insting untuk daftar ke dibimbing kuat","CS nya ramah dan komunikatif membuat nyaman, harga affordable dan insting untuk daftar ke dibimbing kuat",,Tertarik,Tidak,Tidak,Tidak,Belum ada pengalaman Digital Marketing,-
DM,22/Jan/2024,Jan 2024,Digital Marketing,JCJC+,22,Jan,2024,23 +,23,Cileduk (Tangerang Kota),Tangerang,Jabodetabek,Banten,Indonesia,Universitas Mercu Buana,Universitas Mercu Buana,Middle,,,-,Fresh Graduate (Job Seeker) dan membantu usaha orang tua (Bunga Fresh),Fresh Graduate,Low,Job Seeker,-,Membaca-baca psikology dan olahraga,,Karena sebagai fresh graduate kebetulan agak sulit untuk mencari pekerjaan dan kebetulan sekarang membatu usaha keluarga jadi dengan adanya digital marketing berharap usaha keluarga bisa terjun di era digital marketing karena dalam usaha ini masih tradisional (menggunakan Whatsapp aja) dan berharap dengan mengikuti bootcamp di dibimbing terutama materi-materinya bisa mengembangkan saya dan menambah wawasan seputar digital,Instagram Ads,Meta Ads,"Mentornya oke, Internship dan Job Connector","Mentornya oke, Internship dan Job Connector",,Tertarik,Tidak,Tidak,Tidak,Belum ada pengalaman Digital Marketing,-
DS,23/Jan/2024,Jan 2024,Data Science,JCJC+,23,Jan,2024,25,38,Bogor, Bogor,Jabodetabek,Jawa Barat,Indonesia,Universitas Sahid Jakarta dan Universitas Tridharma Bandung (STIE Tridharma),Universitas Sahid Jakart,Middle,Management of Hospitality (Universitas Sahid Jakarta) dan Human Resources (Tridharma Bandung),Management,Magister of Human Resource (Semester 3),HR Manager di perusahaan Technology,Pekerja,High,Karyawan,-,Belajar,,Alasan belajar data science khususnya di HR ini karena melihat berkembangan big data semakin masif yang untuk mengambil keputusan semua delivernya dari data oleh karena itu kemampuan mengolah data menjadi kebutuhan yang wajib dimiliki oleh HR dan tentunya ingin meningkatkan productivity karyawan setelah selesai mengikuti pelatihan data science di HR ,Instagram,Instagram,Silabus,Silabus,,Tertarik,,-,Tidak,tidak pernah mengikuti bootcamp data science sebelumnya,-
UIUX,23/Jan/2024,Jan 2024,UI/UX,JCJC+,23,Jan,2024,24 +,22,Jakarta Timur,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Politeknik Negeri Jakarta,Politeknik Negeri Jakarta (PNJ),Middle,D3 Ilmu Komunikasi,Ilmu Komunikasi,-,Bekerja sebagai Graphic Design di Stamboom (Perusahaan makanan),Pekerja,Middle,Karyawan,-,Main game,,Karena tertarik dengan Graphic design dan berhubungan dengan ngedesign aplikasi atau web memang tertarik aja,"Web, Instagram",Instagram,Internship dan Job Connector,Internship dan Job Connector,,Tertarik,,Tidak,Tidak,-,-
DE,23/Jan/2024,Jan 2024,Data Engineering,CAJC,23,Jan,2024,4,32,Jakarta (7 tahun),Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Telkom Bandung (D3),Universitas Telkom (Tel-U),Middle,D3 Manajemen Informatika ,Management,-,Bekerja sebagai back end engineer di  PT Batara Guru Teknologi selama 3 tahun,Pekerja,Middle,Karyawan,-,"Olahraga (futsal, badminton)",,pengen tahu terkait data engineering (big data) dan ada clien yang berkaitan dengan big data jadi sekalian belajar dan karena memang dikantor sedang ada kebutuhan untuk big data jadi ada user  yang mau big data dan kebetulan belum ada resourcesnya yang mengerti big data sehingga mau belajar jadi lebih untuk kebutuhan kantor,Instagram,Instagram,Silabus lengkap dan yang sering muncul di ads Instagram Dibimbing terus,Silabus lengkap dan yang sering muncul di ads Instagram Dibimbing terus,,-,Tidak,,Tidak,Tidak pernah mengikuti bootcamp terkait data engineering,
UIUX,24/Jan/2024,Jan 2024,UI/UX,JCJC+,24,Jan,2024,24+,24,Lombok,Lombok,Lombok,Nusa Tenggara Barat,Indonesia,Universitas Ahmad Dahlan,Universitas Ahmad Dahlan,Middle,Sistem Informasi,Sistem Informasi,-,Fresh graduate (Job Seeker),Fresh Graduate,Low,Job Seeker,-,Motoran,,sebenarnya saat kuliah sudah memiliki bassic-bassic UI/UX tetapi ikut bootcamp lebih untuk mengembangkan/memperdalam skill dan mengetahui UI/UX Design di dunia kerja seperti apa,Google,Google Ads,Internship,Internship,,Tertarik,,Tidak,Tidak,Pernah mengikuti magang di Lazismu selama 2 bulan untuk posisi mengolah data base,-
DE,24/Jan/2024,Jan 2024,Data Engineering,CAJC,24,Jan,2024,4,23,Bogor, Bogor,Jabodetabek,Jawa Barat,Indonesia,Institut Teknologi Sepuluh Nopember (ITS),Institut Teknologi Sepuluh Nopember (ITS),High,Electrical automation engineer,Teknik Elektro,-,Magang di Mizan Amanah (Lembaga Zakat Nasional) sebagai data science internship,Pekerja,Low,Magang,-,Olagraga,,memiliki ketertarikan di bidang data dan sebelumnya sudah pernah mengikuti pelatihan di data science sehingga ingin melanjutkan pelatihan di di data engineer untuk mendukung kemampuan di bidang data science,Instagram,Instagram,Harga affordable,Harga affordable,,-,Tidak,,Tidak,Pernah mengikuti bootcamp data science di digital scholar selama 3 bulan dan 2 bula internship (sertifikat sudah dikirimkan),
DS,24/Jan/2024,Jan 2024,Data Science,JCJC+,24,Jan,2024,25,23,Depok (Jawa Barat), Depok,Jabodetabek,Jawa Barat,Indonesia,Institut Teknologi Bandung (ITB),Institut Teknologi Bandung (ITB),High,Teknik Telekomunikasi,Teknik Telekomunikasi,-,Fresh Graduate (Job Seeker) dan membantu usaha keluarga,Fresh Graduate,Low,Job Seeker (lulus S1 tahun 2023),-,Entertaiment base (seperti nonton),,"semangat untuk belajar data science karena pertama masih job seeker dan melihat jenjang karier sebagai data science atau data engineering lumayan promising dan nyambung dengan interest diri sendiri karena memang tertarik dengan AI, sedangkan untuk AI perlu bassic untuk data engineering juga, lalu untuk mengejar ketertarikan saya jadi perlu untuk mengambil ilmu yang lebih ",Refferal (Kaka Ipar),Refferal,Harga Affordable,Harga Affordable,,Tertarik,,-,Tidak,tidak pernah mengikuti bootcamp data science sebelumnya tetapi untuk ilmunya data science sendiri pernah dibahas saat kuliah,-
DS,25/Jan/2024,Jan 2024,Data Science,JCJC+,25,Jan,2024,25,23,Pangandaran tetapi kadang di Bandung, Bandung, Bandung,Jawa Barat,Indonesia,Telkom University,Universitas Telkom (Tel-U),Middle,Manajemen Bisnis Telekomunikasi Informatika,Management,-,Bekerja di PT Digjaya Mandiri sebagai Admin,Pekerja,Middle,Karyawan,-,Main Futsal,,Karena memang dari kuliah tertarik dengan coding dan data sehingga ingin memperdalam skill di data science,Instagram,Instagram,"Waktunya fleksibel, reviewnya bagus, dan silabusnya","Waktunya fleksibel, reviewnya bagus, dan silabusnya",,Tertarik,,-,Tidak,-,-
